Animal_Type,Breed,Age,Gender,Weight,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Duration,Appetite_Loss,Vomiting,Diarrhea,Coughing,Labored_Breathing,Lameness,Skin_Lesions,Nasal_Discharge,Eye_Discharge,Body_Temperature,Heart_Rate,Disease_Prediction
Cow,Brown Swiss,3,Female,576.5,Coughing,Appetite Loss,Lethargy,Fever,4 days,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,41.3°C,102,Bovine Respiratory Disease Complex
Cat,Scottish Fold,18,Female,8.6,Appetite Loss,Vomiting,Eye Discharge,Lethargy,2 days,No,Yes,No,No,No,No,Yes,No,Yes,39.1°C,195,Conjunctivitis
Rabbit,Mini Rex,6,Female,2.7,Sneezing,Appetite Loss,Nasal Discharge,Fever,3 days,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,41.5°C,265,Ringworm
Cow,Red Angus,9,Male,462.3,Appetite Loss,Lethargy,Diarrhea,Dehydration,5 days,Yes,No,No,Yes,No,No,Yes,No,No,38.6°C,70,Bovine Coccidiosis
Cat,Bombay,5,Male,5.4,Skin Lesions,Appetite Loss,Lethargy,Vomiting,10 days,Yes,Yes,No,No,No,No,Yes,No,No,38.7°C,194,Ringworm
Cat,American Curl,15,Female,2.7,Coughing,Appetite Loss,Nasal Discharge,Fever,4 days,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,41.3°C,243,Feline Herpesvirus
Dog,Siberian Husky,7,Male,49.2,Sneezing,Eye Discharge,Labored Breathing,Lethargy,5 days,Yes,No,No,Yes,No,No,Yes,No,Yes,39.1°C,86,Allergic Rhinitis
Cow,Jersey,1,Female,600.6,Diarrhea,Dehydration,Appetite Loss,Lethargy,5 days,Yes,Yes,No,No,No,Yes,No,No,Yes,38.4°C,79,Coccidiosis
Dog,Golden Retriever,4,Female,6.5,Lethargy,Vomiting,Appetite Loss,Fever,3 days,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,41.0°C,175,Distemper
Goat,Toggenburg,7,Female,55.6,Vomiting,Diarrhea,Lethargy,Fever,5 days,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,40.7°C,101,Goat Pox
Cat,American Curl,3,Male,3.7,Eye Discharge,Nasal Discharge,Sneezing,Lethargy,5 days,Yes,Yes,No,No,No,Yes,No,Yes,Yes,38.5°C,169,Feline Respiratory Infection
Horse,Belgian,21,Female,501.7,Lameness,Swollen Joints,Appetite Loss,Weight Loss,7 days,No,No,Yes,Yes,No,Yes,No,Yes,No,38.6°C,37,Laminitis
Pig,Chester White,5,Female,99.8,Coughing,Appetite Loss,Lethargy,Fever,6 days,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,40.8°C,100,Swine Influenza
Pig,Landrace,4,Male,88.9,Coughing,Appetite Loss,Lethargy,Nasal Discharge,3 days,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,39.3°C,86,Porcine Reproductive and Respiratory Syndrome
Cow,Dexter,4,Female,720.7,Nasal Discharge,Coughing,Labored Breathing,Fever,3 days,Yes,No,Yes,No,No,Yes,No,No,Yes,40.8°C,101,Bovine Influenza
Goat,Saanen,1,Female,66.2,Diarrhea,Dehydration,Lethargy,Appetite Loss,5 days,Yes,Yes,No,Yes,No,Yes,No,Yes,No,39.2°C,77,Coccidiosis
Dog,Boxer,6,Female,18.0,Lameness,Fever,Skin Lesions,Lethargy,8 days,Yes,No,No,No,No,Yes,Yes,No,No,39.5°C,142,Tick-Borne Disease
Rabbit,English Angora,7,Female,3.8,Sneezing,Appetite Loss,Nasal Discharge,Fever,4 days,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,42.1°C,257,Viral Hemorrhagic Disease
Pig,Landrace,8,Female,59.5,Coughing,Appetite Loss,Lethargy,Nasal Discharge,3 days,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,38.8°C,65,Porcine Reproductive and Respiratory Syndrome
Cow,Guernsey,6,Female,590.8,Diarrhea,Dehydration,Appetite Loss,Lethargy,5 days,Yes,Yes,No,No,No,Yes,No,No,Yes,39.1°C,62,Coccidiosis
Horse,Mustang,2,Male,425.6,Lameness,Appetite Loss,Swollen Legs,Coughing,6 days,No,Yes,Yes,Yes,No,No,Yes,Yes,No,38.6°C,34,Equine West Nile Virus
Cat,Siberian,2,Male,2.3,Nasal Discharge,Appetite Loss,Coughing,Fever,5 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,40.7°C,252,Feline Asthma
Sheep,Corriedale,8,Female,87.4,Swollen Joints,Coughing,Appetite Loss,Lethargy,6 days,Yes,Yes,No,Yes,No,Yes,Yes,No,No,39.7°C,80,Bluetongue Virus
Pig,Wessex Saddleback,6,Male,56.1,Coughing,Appetite Loss,Lethargy,Nasal Discharge,3 days,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,38.8°C,90,Porcine Reproductive and Respiratory Syndrome
Rabbit,Mini Rex,3,Male,3.8,Sneezing,Eye Discharge,Nasal Discharge,Lethargy,5 days,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,39.8°C,157,Respiratory Infection
Cow,Limousin,12,Male,412.0,Appetite Loss,Fever,Coughing,Lethargy,6 days,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,39.9°C,103,Bovine Johne's Disease
Dog,Beagle,15,Female,39.3,Sneezing,Eye Discharge,Labored Breathing,Lethargy,5 days,Yes,No,No,Yes,No,No,Yes,No,Yes,39.3°C,80,Allergic Rhinitis
Pig,Large White,4,Female,53.3,Sneezing,Coughing,Nasal Discharge,Labored Breathing,4 days,Yes,No,Yes,No,No,Yes,Yes,No,No,39.2°C,74,Swine Influenza
Dog,Poodle,7,Female,39.4,Coughing,Labored Breathing,Appetite Loss,Lethargy,6 days,Yes,No,Yes,No,Yes,Yes,No,No,No,39.4°C,78,Canine Flu
Cat,Russian Blue,7,Male,7.1,Eye Discharge,Nasal Discharge,Sneezing,Lethargy,5 days,Yes,Yes,No,No,No,Yes,No,Yes,Yes,39.2°C,143,Feline Respiratory Infection
Pig,Large White,2,Female,226.2,Coughing,Appetite Loss,Lethargy,Fever,4 days,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,41.3°C,89,Porcine Epidemic Diarrhea Virus
Cat,Manx,7,Male,3.1,Vomiting,Diarrhea,Dehydration,Weight Loss,3 days,Yes,Yes,No,No,Yes,Yes,No,No,No,38.6°C,213,Pancreatitis
Cow,Hereford,9,Male,634.0,Coughing,Appetite Loss,Lethargy,Fever,4 days,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,41.0°C,96,Bovine Tuberculosis
Sheep,Karakul,7,Male,64.6,Coughing,Appetite Loss,Lethargy,Fever,5 days,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,39.9°C,94,Scrapie Disease
Pig,Duroc,5,Male,202.5,Coughing,Appetite Loss,Lethargy,Fever,6 days,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,41.2°C,85,Swine Flu
Horse,Andalusian,14,Female,330.9,Lameness,Fever,Coughing,Nasal Discharge,1 week,Yes,No,No,Yes,No,Yes,No,Yes,No,39.6°C,46,Strangles
Dog,Cocker Spaniel,13,Male,25.0,Coughing,Lethargy,Appetite Loss,Fever,5 days,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,39.5°C,149,Canine Cough
Horse,Shire,19,Male,502.7,Lameness,Fever,Skin Lesions,Appetite Loss,5 days,No,No,No,No,No,Yes,Yes,No,No,38.6°C,48,Equine Piroplasmosis
Pig,Chester White,7,Male,131.5,Vomiting,Fever,Appetite Loss,Lethargy,5 days,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,40.7°C,84,Actinobacillus Suis
Rabbit,Flemish Giant,7,Female,2.0,Sneezing,Nasal Discharge,Appetite Loss,Fever,2 days,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,40.3°C,274,Pasteurellosis
Rabbit,Flemish Giant,4,Male,5.3,Sneezing,Nasal Discharge,Lethargy,Appetite Loss,3 days,Yes,No,Yes,Yes,No,Yes,No,No,Yes,39.3°C,234,Upper Respiratory Infection
Horse,Andalusian,13,Female,523.1,Lameness,Swollen Legs,Appetite Loss,Fever,5 days,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,40.0°C,59,Equine Metabolic Syndrome
Cat,Maine Coon,15,Female,4.0,Lethargy,Appetite Loss,Weight Loss,Dehydration,8 days,Yes,Yes,Yes,No,No,No,Yes,Yes,No,38.4°C,218,Feline Renal Disease
Cat,Abyssinian,10,Female,7.5,Coughing,Appetite Loss,Nasal Discharge,Fever,3 days,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,40.0°C,241,Feline Asthma
Cat,Persian,11,Male,5.6,Lethargy,Vomiting,Appetite Loss,Weight Loss,5 days,Yes,No,No,Yes,Yes,No,Yes,No,No,39.6°C,201,Hyperthyroidism
Pig,Landrace,3,Male,244.4,Coughing,Appetite Loss,Lethargy,Nasal Discharge,5 days,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,40.3°C,88,Porcine Respiratory Disease Complex
Cat,Sphynx,7,Female,7.5,Lethargy,Vomiting,Appetite Loss,Diarrhea,5 days,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,39.0°C,196,Feline Infectious Peritonitis
Rabbit,English Angora,1,Female,4.3,Lethargy,Appetite Loss,Weight Loss,Diarrhea,5 days,Yes,No,Yes,No,Yes,Yes,No,No,Yes,39.4°C,179,Gastrointestinal Stasis
Rabbit,Mini Rex,4,Female,4.0,Lethargy,Appetite Loss,Weight Loss,Diarrhea,5 days,Yes,No,Yes,No,Yes,Yes,No,No,Yes,39.2°C,243,Gastrointestinal Stasis
Horse,Pinto,24,Female,497.6,Lameness,Swollen Legs,Appetite Loss,Fever,2 weeks,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,40.0°C,58,Equine Influenza
Horse,Paint,24,Male,758.8,Lameness,Swollen Legs,Appetite Loss,Fever,6 days,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,40.3°C,57,Equine Leptospirosis
Cat,Bengal,8,Male,6.9,Lethargy,Appetite Loss,Weight Loss,Dehydration,8 days,Yes,Yes,Yes,No,No,No,Yes,Yes,No,38.8°C,145,Feline Renal Disease
Cow,Charolais,11,Male,550.7,Appetite Loss,Diarrhea,Lethargy,Decreased Milk Yield,5 days,Yes,No,Yes,No,No,No,No,No,No,38.9°C,70,Johne's Disease
Horse,Shire,1,Female,591.4,Appetite Loss,Lethargy,Labored Breathing,Coughing,10 days,No,No,Yes,Yes,No,No,Yes,Yes,No,38.3°C,28,Equine Pneumonia
Cow,Jersey,2,Female,560.0,Appetite Loss,Lethargy,Diarrhea,Dehydration,5 days,Yes,No,No,Yes,No,No,Yes,No,No,38.4°C,63,Bovine Coccidiosis
Cat,Siamese,17,Female,3.5,Lethargy,Vomiting,Diarrhea,Dehydration,5 days,Yes,Yes,Yes,No,No,No,No,No,No,39.5°C,161,Panleukopenia
Sheep,Cheviot,5,Male,96.5,Lameness,Swollen Joints,Appetite Loss,Diarrhea,5 days,Yes,No,No,Yes,No,No,Yes,Yes,No,39.6°C,77,Blue Tongue Virus
Cat,Siamese,6,Female,7.1,Vomiting,Diarrhea,Appetite Loss,Dehydration,3 days,No,Yes,No,Yes,No,Yes,No,Yes,No,38.7°C,159,Pancreatitis
Cow,Limousin,3,Male,747.7,Diarrhea,Dehydration,Appetite Loss,Lethargy,5 days,Yes,Yes,No,No,No,Yes,No,No,Yes,38.1°C,83,Coccidiosis
Cat,American Curl,4,Female,2.1,Coughing,Appetite Loss,Nasal Discharge,Fever,5 days,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,40.7°C,223,Feline Panleukopenia Virus
Sheep,Dorset,4,Male,133.5,Swollen Joints,Appetite Loss,Lethargy,Coughing,5 days,Yes,Yes,No,Yes,No,Yes,No,Yes,No,39.0°C,77,Caseous Lymphadenitis
Horse,Mustang,6,Female,319.7,Swollen Joints,Lameness,Fever,Appetite Loss,8 days,No,No,Yes,Yes,Yes,No,No,No,No,39.4°C,46,Equine Arthritis
Goat,Nubian,7,Male,91.7,Vomiting,Diarrhea,Lethargy,Fever,5 days,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,39.9°C,103,Caprine Arthritis
Cat,Ragdoll,3,Male,8.0,Coughing,Appetite Loss,Nasal Discharge,Fever,5 days,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,40.4°C,210,Feline Panleukopenia Virus
Cat,Bombay,18,Female,5.3,Coughing,Appetite Loss,Fever,Lethargy,5 days,Yes,No,Yes,No,No,Yes,No,Yes,Yes,40.0°C,263,Feline Chlamydia
Dog,Poodle,8,Female,3.3,Coughing,Lethargy,Appetite Loss,Fever,5 days,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,41.3°C,142,Canine Cough
Cat,Bengal,12,Male,8.4,Nasal Discharge,Eye Discharge,Sneezing,Lethargy,1 week,Yes,No,No,Yes,No,Yes,Yes,No,No,38.2°C,181,Upper Respiratory Infection
Rabbit,Mini Lop,2,Female,6.4,Sneezing,Appetite Loss,Nasal Discharge,Fever,3 days,Yes,Yes,No,Yes,No,Yes,Yes,No,No,41.4°C,250,Rabbit Syphilis
Dog,Cocker Spaniel,5,Male,25.5,Coughing,Appetite Loss,Lethargy,Fever,5 days,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,41.1°C,129,Kennel Cough
Cow,Jersey,7,Female,507.8,Coughing,Nasal Discharge,Lethargy,Fever,5 days,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,41.0°C,102,Bovine Viral Diarrhea
Dog,Beagle,15,Female,35.4,Vomiting,Diarrhea,Lethargy,Fever,5 days,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,40.4°C,172,Parvovirus
Rabbit,Holland Lop,5,Male,4.2,Sneezing,Appetite Loss,Nasal Discharge,Fever,3 days,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,41.6°C,264,Pneumonia
Cow,Aberdeen Angus,1,Female,383.8,Lethargy,Decreased Milk Yield,Fever,No,5 days,Yes,No,No,No,No,No,No,No,No,39.8°C,101,Mastitis
Cow,Holstein,3,Male,712.0,Coughing,Appetite Loss,Lethargy,Fever,4 days,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,41.1°C,82,Bovine Parainfluenza
Cat,British Shorthair,17,Male,6.5,Nasal Discharge,Coughing,Appetite Loss,Fever,3 days,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,40.3°C,221,Feline Infectious Peritonitis
Sheep,Dorper,4,Female,76.6,Coughing,Lethargy,Appetite Loss,Swollen Joints,6 days,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,39.1°C,76,Scrapie
Cat,Ragdoll,17,Male,4.4,Eye Discharge,Nasal Discharge,Appetite Loss,Lethargy,4 days,No,No,No,Yes,Yes,No,No,Yes,Yes,39.6°C,155,Feline Upper Respiratory Infection
Cat,Siberian,14,Male,7.2,Lethargy,Appetite Loss,Weight Loss,Dehydration,8 days,Yes,Yes,Yes,No,No,No,Yes,Yes,No,39.1°C,163,Feline Renal Disease
Sheep,Karakul,6,Male,139.8,Swollen Joints,Appetite Loss,Coughing,Lethargy,5 days,Yes,No,Yes,No,Yes,No,No,Yes,No,38.7°C,74,Chlamydia in Sheep
Goat,Nigerian Dwarf,8,Male,48.4,Vomiting,Diarrhea,Lethargy,Fever,5 days,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,40.3°C,107,Foot-and-Mouth Disease
Dog,Dachshund,1,Male,17.3,Lameness,Fever,Skin Lesions,Lethargy,8 days,Yes,No,No,No,No,Yes,Yes,No,No,39.5°C,161,Tick-Borne Disease
Horse,Percheron,14,Female,785.5,Lameness,Swollen Legs,Appetite Loss,Fever,6 days,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,38.9°C,57,Equine Encephalomyelitis
Cow,Guernsey,8,Male,684.5,Coughing,Appetite Loss,Lethargy,Fever,4 days,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,41.0°C,86,Bovine Mastitis
Cat,Abyssinian,1,Male,6.3,Vomiting,Appetite Loss,Lethargy,Diarrhea,4 days,Yes,Yes,Yes,No,No,No,No,No,No,39.4°C,193,Intestinal Parasites
Dog,Shih Tzu,9,Female,22.0,Lameness,Fever,Skin Lesions,Lethargy,8 days,Yes,No,No,No,No,Yes,Yes,No,No,39.5°C,166,Tick-Borne Disease
Cat,Scottish Fold,1,Female,5.0,Coughing,Appetite Loss,Nasal Discharge,Fever,5 days,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,41.0°C,222,Feline Chlamydiosis
Cow,Simmental,4,Female,490.1,Coughing,Appetite Loss,Lethargy,Fever,6 days,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,40.4°C,99,Bovine Respiratory Disease
Sheep,Cheviot,8,Female,56.8,Coughing,Appetite Loss,Lethargy,Fever,6 days,Yes,No,Yes,No,Yes,Yes,No,Yes,No,41.5°C,92,Blue Tongue Disease
Goat,Alpine,1,Male,107.5,Vomiting,Diarrhea,Lethargy,Fever,5 days,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,40.7°C,86,Caprine Arthritis
Horse,Belgian,12,Male,490.1,Appetite Loss,Lethargy,Labored Breathing,Coughing,10 days,No,No,Yes,Yes,No,No,Yes,Yes,No,37.7°C,32,Equine Pneumonia
Horse,Standardbred,21,Male,442.2,Appetite Loss,Lethargy,Labored Breathing,Coughing,10 days,No,No,Yes,Yes,No,No,Yes,Yes,No,37.6°C,42,Equine Pneumonia
Rabbit,Himalayan,2,Male,4.6,Lethargy,Appetite Loss,Weight Loss,Diarrhea,5 days,Yes,No,Yes,No,Yes,Yes,No,No,Yes,39.2°C,170,Gastrointestinal Stasis
Horse,Welsh Pony,24,Male,715.0,Lameness,Swollen Joints,Appetite Loss,Weight Loss,7 days,No,No,Yes,Yes,No,Yes,No,Yes,No,38.1°C,42,Laminitis
Sheep,Lincoln,2,Female,133.6,Coughing,Appetite Loss,Lethargy,Fever,4 days,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,39.9°C,90,Maedi-Visna
Cat,Bengal,16,Male,3.9,Appetite Loss,Coughing,Nasal Discharge,Eye Discharge,3 days,Yes,No,No,Yes,Yes,No,No,No,Yes,38.4°C,185,Feline Upper Respiratory Infection
Cat,Sphynx,11,Female,2.4,Vomiting,Appetite Loss,Lethargy,Diarrhea,4 days,Yes,Yes,Yes,No,No,No,No,No,No,38.3°C,172,Intestinal Parasites
Cat,Abyssinian,11,Male,8.3,Vomiting,Diarrhea,Appetite Loss,Dehydration,3 days,No,Yes,No,Yes,No,Yes,No,Yes,No,38.8°C,211,Pancreatitis
Rabbit,Holland Lop,6,Female,4.6,Sneezing,Appetite Loss,Nasal Discharge,Fever,3 days,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,40.8°C,230,Pneumonia
Horse,Shetland Pony,12,Male,769.1,Lameness,Swollen Joints,Appetite Loss,Reduced Mobility,6 days,No,Yes,No,No,Yes,Yes,No,Yes,Yes,38.7°C,28,Equine Lyme Disease
Rabbit,Holland Lop,2,Female,5.7,Sneezing,Appetite Loss,Nasal Discharge,Fever,3 days,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,40.7°C,239,Rabbit Calicivirus
Sheep,Merino,7,Male,104.8,Weight Loss,Lethargy,Appetite Loss,Swollen Joints,4 days,Yes,Yes,No,Yes,No,No,Yes,Yes,No,38.6°C,71,Scrapie
Rabbit,Dutch,1,Male,5.2,Lethargy,Appetite Loss,Weight Loss,Diarrhea,5 days,Yes,No,Yes,No,Yes,Yes,No,No,Yes,39.6°C,138,Gastrointestinal Stasis
Cat,Russian Blue,6,Male,8.1,Lethargy,Vomiting,Appetite Loss,Weight Loss,5 days,Yes,No,No,Yes,Yes,No,Yes,No,No,38.3°C,159,Hyperthyroidism
Goat,Kiko,4,Male,62.9,Fever,Vomiting,Diarrhea,Appetite Loss,5 days,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,40.6°C,105,Caprine Pleuropneumonia
Sheep,Finnsheep,2,Female,95.1,Weight Loss,Reduced Wool Production,Lethargy,Appetite Loss,7 days,Yes,Yes,No,No,Yes,No,No,No,Yes,39.9°C,82,Foot-and-Mouth Disease
Cow,Brahman,12,Male,534.1,Nasal Discharge,Coughing,Labored Breathing,Fever,3 days,Yes,No,Yes,No,No,Yes,No,No,Yes,41.2°C,86,Bovine Influenza
Sheep,Tunis,9,Male,53.1,Coughing,Appetite Loss,Lethargy,Fever,5 days,Yes,Yes,No,Yes,No,No,Yes,Yes,No,40.7°C,83,Contagious Abortion
Dog,Corgi,9,Female,7.8,Lethargy,Vomiting,Appetite Loss,Fever,7 days,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,40.6°C,174,Canine Distemper
Rabbit,Mini Rex,3,Male,1.2,Sneezing,Appetite Loss,Nasal Discharge,Fever,4 days,Yes,No,Yes,Yes,No,No,Yes,No,Yes,41.0°C,264,Rabbit Hemorrhagic Disease
Cow,Brahman,3,Male,384.5,Diarrhea,Dehydration,Lethargy,Appetite Loss,8 days,Yes,No,No,Yes,No,Yes,No,No,Yes,39.0°C,69,Salmonellosis
Goat,LaMancha,5,Male,46.4,Diarrhea,Dehydration,Lethargy,Appetite Loss,6 days,Yes,Yes,No,Yes,No,Yes,No,Yes,No,39.1°C,76,Coccidiosis
Rabbit,Mini Rex,6,Male,3.6,Diarrhea,Appetite Loss,Dehydration,Weight Loss,3 days,No,Yes,No,Yes,No,Yes,No,No,Yes,38.8°C,246,Enteritis
Horse,Paint,1,Male,618.0,Lameness,Swollen Legs,Appetite Loss,Fever,6 days,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,40.0°C,52,Equine Infectious Anemia
Goat,LaMancha,3,Female,85.9,Vomiting,Diarrhea,Lethargy,Fever,5 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,41.4°C,100,Caprine Arthritis Encephalitis Virus
Cat,Siamese,8,Male,5.7,Lethargy,Appetite Loss,Skin Lesions,No,2 weeks,Yes,No,No,No,No,No,Yes,No,No,39.7°C,173,Fungal Infection
Cow,Jersey,7,Male,379.6,Diarrhea,Dehydration,Appetite Loss,Lethargy,5 days,Yes,Yes,No,No,No,Yes,No,No,Yes,38.1°C,72,Coccidiosis
Horse,Tennessee Walker,11,Male,572.3,Nasal Discharge,Coughing,Labored Breathing,Lethargy,10 days,No,No,No,Yes,Yes,No,No,Yes,No,37.6°C,45,Equine Viral Arteritis
Goat,LaMancha,8,Male,103.6,Diarrhea,Dehydration,Lethargy,Appetite Loss,5 days,Yes,Yes,No,No,No,Yes,No,Yes,Yes,38.7°C,73,Giardiasis
Goat,Boer,3,Male,51.0,Vomiting,Diarrhea,Lethargy,Fever,5 days,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,41.1°C,81,Caprine Arthritis Encephalitis
Cat,Abyssinian,7,Female,6.8,Lethargy,Appetite Loss,Weight Loss,Dehydration,8 days,Yes,Yes,Yes,No,No,No,Yes,Yes,No,38.3°C,185,Feline Renal Disease
Cat,Sphynx,8,Female,3.1,Vomiting,Appetite Loss,Lethargy,Weight Loss,9 days,Yes,No,Yes,No,Yes,No,Yes,No,No,39.4°C,203,Inflammatory Bowel Disease
Rabbit,English Angora,2,Female,4.7,Sneezing,Nasal Discharge,Appetite Loss,Lethargy,5 days,No,Yes,No,Yes,Yes,No,No,Yes,No,38.9°C,229,Snuffles
Dog,Beagle,4,Male,17.9,Lethargy,Labored Breathing,Coughing,Appetite Loss,6 days,Yes,No,No,Yes,Yes,No,No,No,No,39.3°C,131,Heartworm Disease
Rabbit,Holland Lop,2,Female,3.2,Sneezing,Appetite Loss,Nasal Discharge,Fever,4 days,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,41.3°C,287,Viral Hemorrhagic Disease
Horse,American Quarter,9,Female,402.9,Lameness,Appetite Loss,Swollen Legs,Fever,6 days,No,Yes,Yes,No,Yes,No,Yes,No,Yes,38.8°C,50,Equine Laminitis
Dog,Dachshund,13,Female,39.8,Lethargy,Vomiting,Appetite Loss,Fever,3 days,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,39.5°C,164,Canine Heartworm Disease
Horse,Pinto,19,Female,569.0,Lameness,Appetite Loss,Swollen Legs,Fever,12 days,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,39.1°C,57,Equine Influenza
Dog,Siberian Husky,9,Female,41.5,Lameness,Fever,Skin Lesions,Lethargy,8 days,Yes,No,No,No,No,Yes,Yes,No,No,41.3°C,158,Tick-Borne Disease
Horse,Tennessee Walker,24,Female,386.5,Weight Loss,Appetite Loss,Lethargy,Fever,8 days,No,No,Yes,Yes,No,Yes,Yes,No,No,39.3°C,59,Equine Cushing's Disease
Rabbit,Holland Lop,7,Male,2.8,Sneezing,Nasal Discharge,Appetite Loss,Fever,4 days,Yes,No,No,Yes,Yes,No,Yes,No,No,41.2°C,244,Myxomatosis
Horse,Andalusian,15,Male,733.1,Lameness,Swollen Legs,Appetite Loss,Fever,8 days,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,39.7°C,49,Equine Encephalitis
Dog,Labrador Retriever,15,Male,28.7,Lethargy,Vomiting,Appetite Loss,Coughing,3 days,Yes,Yes,No,Yes,No,Yes,No,No,No,38.7°C,82,Leptospirosis
Cat,Bengal,8,Male,4.4,Coughing,Appetite Loss,Nasal Discharge,Fever,5 days,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,41.3°C,251,Feline Immunodeficiency Virus
Sheep,Texel,8,Male,42.0,Coughing,Appetite Loss,Lethargy,Fever,5 days,Yes,Yes,No,Yes,No,Yes,Yes,No,No,40.4°C,92,Contagious Ecthyma
Pig,Tamworth,7,Male,151.5,Coughing,Nasal Discharge,Appetite Loss,Lethargy,5 days,Yes,Yes,No,No,Yes,No,Yes,Yes,No,40.1°C,80,Actinobacillus Pleuropneumonia
Pig,Wessex Saddleback,8,Male,56.5,Coughing,Appetite Loss,Lethargy,Nasal Discharge,3 days,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,39.7°C,90,Porcine Reproductive and Respiratory Syndrome
Cow,Brown Swiss,11,Female,608.7,Coughing,Appetite Loss,Lethargy,Fever,4 days,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,41.5°C,100,Bovine Mastitis
Sheep,Karakul,4,Female,64.6,Coughing,Appetite Loss,Lethargy,Fever,6 days,Yes,No,Yes,No,Yes,Yes,No,Yes,No,41.3°C,111,Blue Tongue Disease
Dog,Akita,9,Female,49.4,Lameness,Swelling,Appetite Loss,Fever,10 days,Yes,No,No,No,No,Yes,No,No,No,40.5°C,148,Arthritis
Pig,Tamworth,3,Female,213.0,Coughing,Appetite Loss,Lethargy,Fever,5 days,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,41.7°C,92,Porcine Epidemic Diarrhea
Cat,Siberian,5,Male,4.1,Appetite Loss,Weight Loss,Vomiting,Lethargy,4 days,Yes,Yes,No,No,No,No,Yes,No,No,39.1°C,177,Feline Leukemia
Pig,Yorkshire,3,Male,134.1,Coughing,Appetite Loss,Lethargy,Fever,6 days,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,41.7°C,86,Swine Erysipelas
Sheep,Tunis,6,Male,84.9,Coughing,Appetite Loss,Lethargy,Fever,4 days,Yes,No,Yes,Yes,No,Yes,Yes,Yes,No,40.4°C,99,Maedi-Visna
